time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2022-02-12T19:37:12.390Z,19.2133331298828,-155.447830200195,0.660000026226044,2.09,ml,39,118,,0.219999999,hv,hv72914842,2022-02-12T19:42:42.660Z,"3 km ENE of Pāhala, Hawaii",earthquake,0.37,0.340000004,4.22,11,automatic,hv,hv
2022-02-12T19:33:15.640Z,19.1916675567627,-155.45166015625,36.25,2.02999997,md,36,124,,0.100000001,hv,hv72914837,2022-02-12T19:36:21.790Z,"3 km ESE of Pāhala, Hawaii",earthquake,0.65,0.589999974,0.430000007,9,automatic,hv,hv
2022-02-12T18:48:21.652Z,38.5252,-119.4659,5.1,1.2,ml,12,151.76,0.03,0.2045,nn,nn00833747,2022-02-12T18:51:46.378Z,"1 km NE of Walker, California",earthquake,,0.6,0.29,9,automatic,nn,nn
2022-02-12T18:46:59.970Z,18.0051666666667,-66.7663333333333,15.46,2.37,md,10,179,,0.14,pr,pr71334468,2022-02-12T19:06:03.010Z,"1 km SSE of Magas Arriba, Puerto Rico",earthquake,0.47,0.58,0.0859016379526083,5,reviewed,pr,pr
2022-02-12T18:44:20.550Z,38.8404999,-122.8756638,2.6,1.17,md,17,85,0.005522,0.02,nc,nc73692001,2022-02-12T19:05:16.949Z,"12km NW of The Geysers, CA",earthquake,0.3,0.54,0.03,3,automatic,nc,nc
2022-02-12T18:43:38.800Z,40.2808342,-124.5408325,17.34,1.98,md,9,282,0.2446,0.05,nc,nc73691996,2022-02-12T18:54:13.880Z,"22km WSW of Petrolia, CA",earthquake,2.57,0.96,0.13,5,automatic,nc,nc
2022-02-12T18:37:57.732Z,62.7107,-151.7279,4.4,1.7,ml,,,,0.9,ak,ak0221zf1s2f,2022-02-12T18:43:53.234Z,"54 km WNW of Petersville, Alaska",earthquake,,0.4,,,automatic,ak,ak
2022-02-12T18:29:40.890Z,19.183666229248,-155.477340698242,34.4700012207031,2.11999989,md,29,199,,0.119999997,hv,hv72914802,2022-02-12T18:32:44.930Z,"2 km S of Pāhala, Hawaii",earthquake,1.04,1.22000003,1.05999994,3,automatic,hv,hv
2022-02-12T18:14:23.450Z,18.0178333333333,-66.8391666666667,11.46,1.79,md,3,307,,0.02,pr,pr71334463,2022-02-12T18:53:20.440Z,"2 km SSE of Yauco, Puerto Rico",earthquake,1.55,0.99,0.022926253331048,2,reviewed,pr,pr
2022-02-12T18:10:05.187Z,61.9433,-149.772,4.1,2.7,ml,,,,0.75,ak,ak0221zevvmm,2022-02-12T18:20:01.189Z,"24 km S of Susitna North, Alaska",earthquake,,0.4,,,automatic,ak,ak
2022-02-12T17:59:46.870Z,64.9854,-147.3838,0,1.5,ml,,,,0.6,ak,ak0221zel1dr,2022-02-12T18:03:18.149Z,"11 km ENE of Fox, Alaska",earthquake,,0.4,,,automatic,ak,ak
2022-02-12T17:53:12.522Z,63.1975,-150.8889,99.3,2.2,ml,,,,2.13,ak,ak0221zejopb,2022-02-12T18:03:18.006Z,"56 km SE of Denali National Park, Alaska",earthquake,,1,,,automatic,ak,ak
2022-02-12T17:51:04.540Z,38.5385017,-119.5471649,2.27,2.64,md,15,80,0.09204,0.11,nc,nc73691991,2022-02-12T19:41:12.166Z,"6km WNW of Walker, CA",earthquake,0.31,1.78,0.32,11,automatic,nc,nc
2022-02-12T17:39:04.123Z,60.0222,-152.1551,26.1,1.6,ml,,,,1.22,ak,ak0221zegnrg,2022-02-12T17:41:25.516Z,"25 km WNW of Happy Valley, Alaska",earthquake,,4.1,,,automatic,ak,ak
2022-02-12T17:26:38.340Z,38.8349991,-122.8065033,2.11,1.19,md,22,51,0.01192,0.01,nc,nc73691971,2022-02-12T19:26:10.078Z,"7km WNW of Cobb, CA",earthquake,0.22,0.4,0.02,4,automatic,nc,nc
2022-02-12T17:15:41.318Z,60.8646,-149.597,12.6,2.5,ml,,,,0.98,ak,ak0221zeblhw,2022-02-12T19:42:46.040Z,"6 km SSE of Hope, Alaska",earthquake,,0.3,,,automatic,ak,ak
2022-02-12T17:13:27.657Z,-29.625,-177.0553,21.5,4.9,mb,,54,0.836,0.79,us,us7000gkb9,2022-02-12T17:58:00.040Z,"Kermadec Islands, New Zealand",earthquake,7.2,4.5,0.089,46,reviewed,us,us
2022-02-12T17:06:13.674Z,62.8106,-149.225,66.7,1.8,ml,,,,0.92,ak,ak0221ze9lvb,2022-02-12T17:12:42.046Z,"60 km NE of Chase, Alaska",earthquake,,0.5,,,automatic,ak,ak
2022-02-12T16:57:34.099Z,61.5011,-147.7771,21.1,1.8,ml,,,,0.99,ak,ak0221zdz5d8,2022-02-12T17:02:10.545Z,"34 km S of Glacier View, Alaska",earthquake,,0.2,,,automatic,ak,ak
2022-02-12T16:55:52.770Z,39.4972,-119.1136,9.1,2.5,ml,27,91.63,0.456,0.2549,nn,nn00833739,2022-02-12T17:43:21.040Z,"13 km NE of Silver Springs, Nevada",earthquake,,0.6,0.35,14,automatic,nn,nn
2022-02-12T16:14:33.977Z,46.1713,-68.1069,5,2.4,mb_lg,,86,0.351,0.58,us,us7000gkat,2022-02-12T19:43:11.352Z,"6 km WNW of Ludlow, Maine",earthquake,2.2,2,0.18,8,reviewed,us,us
2022-02-12T16:14:00.598Z,36.28997803,-97.51755524,5,2.14,ml,42,36.59222412,0.07253007591,0.3980334333,ok,ok2022czzg,2022-02-12T16:16:37.920Z,"5 km WNW of Lucien, Oklahoma",earthquake,,0,,30,automatic,ok,ok
2022-02-12T16:10:46.000Z,38.8219986,-122.8556671,2.43,1.02,md,22,88,0.005618,0.02,nc,nc73691936,2022-02-12T17:55:10.497Z,"10km WNW of The Geysers, CA",earthquake,0.23,0.47,0.17,3,automatic,nc,nc
2022-02-12T16:06:13.095Z,60.8954,-147.6374,21.6,3.1,ml,,,,0.84,ak,ak0221zdo67z,2022-02-12T17:37:00.040Z,"52 km W of Tatitlek, Alaska",earthquake,,0.3,,,automatic,ak,ak
2022-02-12T16:04:00.458Z,64.7254,-152.4731,5.6,1.9,ml,,,,0.97,ak,ak0221zdnpt9,2022-02-12T16:11:04.925Z,"53 km SSW of Tanana, Alaska",earthquake,,0.5,,,automatic,ak,ak
2022-02-12T16:00:33.720Z,38.8334999,-122.8105011,2.2,1.18,md,15,71,0.0101,0.01,nc,nc73691931,2022-02-12T17:29:11.357Z,"8km W of Cobb, CA",earthquake,0.25,0.68,,1,automatic,nc,nc
2022-02-12T15:53:56.580Z,40.2813339,-124.3483353,18.12,1.74,md,9,235,0.06361,0.03,nc,nc73691926,2022-02-12T17:02:11.202Z,"7km SW of Petrolia, CA",earthquake,1.08,0.79,0.09,5,automatic,nc,nc
2022-02-12T15:43:22.170Z,60.2611,-141.6905,0,1.6,ml,,,,0.45,ak,ak0221zdaopo,2022-02-12T15:47:42.174Z,"135 km NW of Yakutat, Alaska",earthquake,,0.6,,,automatic,ak,ak
2022-02-12T15:39:44.710Z,19.2103328704834,-155.381332397461,30.6700000762939,1.82000005,md,35,166,,0.119999997,hv,hv72914642,2022-02-12T15:42:54.780Z,"10 km E of Pāhala, Hawaii",earthquake,0.53,0.810000002,0.170000002,5,automatic,hv,hv
2022-02-12T15:36:58.734Z,60.2397,-151.8548,60.7,2.2,ml,,,,0.72,ak,ak0221zd99kf,2022-02-12T17:32:11.040Z,"23 km NNW of Ninilchik, Alaska",earthquake,,0.6,,,automatic,ak,ak
2022-02-12T15:17:39.948Z,63.0215,-151.4524,5.2,1.7,ml,,,,1.13,ak,ak0221zd55h5,2022-02-12T15:22:29.093Z,"59 km SSE of Denali National Park, Alaska",earthquake,,0.3,,,automatic,ak,ak
2022-02-12T15:06:43.971Z,60.9095,-151.3569,82.9,3,ml,,,,0.54,ak,ak0221zd2sxy,2022-02-12T17:11:14.040Z,"21 km SW of Tyonek, Alaska",earthquake,,0.4,,,automatic,ak,ak
2022-02-12T15:04:15.600Z,17.9655,-66.8508333333333,18.16,2.32,md,18,187,,0.18,pr,pr71334448,2022-02-12T15:21:41.430Z,"4 km ESE of Maria Antonia, Puerto Rico",earthquake,0.58,0.41,0.101723034971247,13,reviewed,pr,pr
2022-02-12T14:59:11.040Z,19.2463340759277,-155.371994018555,-0.660000026226044,2.25,ml,43,147,,0.209999993,hv,hv72914607,2022-02-12T15:04:42.010Z,"12 km ENE of Pāhala, Hawaii",earthquake,0.46,0.209999993,3.13,13,automatic,hv,hv
2022-02-12T14:36:52.790Z,19.166166305542,-155.489669799805,35.4599990844727,2.37,ml,51,104,,0.129999995,hv,hv72914592,2022-02-12T17:04:56.040Z,"4 km SSW of Pāhala, Hawaii",earthquake,0.45,0.620000005,3.79,22,automatic,hv,hv
2022-02-12T14:27:57.496Z,-0.3907,-19.7113,10,5,mb,,79,9.196,0.95,us,us7000gkab,2022-02-12T14:47:13.040Z,"central Mid-Atlantic Ridge",earthquake,10.9,1.9,0.07,66,reviewed,us,us
2022-02-12T14:04:20.040Z,19.2101669311523,-155.376007080078,2.0699999332428,2.06,ml,11,230,,0.219999999,hv,hv72914557,2022-02-12T14:09:50.440Z,"10 km E of Pāhala, Hawaii",earthquake,2.42,4.88000011,0.6,3,automatic,hv,hv
2022-02-12T13:59:22.540Z,19.1630001068115,-155.465835571289,33.1699981689453,2,md,41,93,,0.109999999,hv,hv72914552,2022-02-12T14:02:43.910Z,"4 km SSE of Pāhala, Hawaii",earthquake,0.6,0.879999995,0.560000002,9,automatic,hv,hv
2022-02-12T13:44:09.410Z,19.2238330841064,-155.389831542969,32.9599990844727,2.22,ml,48,151,,0.129999995,hv,hv72914527,2022-02-12T13:49:40.490Z,"9 km ENE of Pāhala, Hawaii",earthquake,0.48,0.75,4.04,7,automatic,hv,hv
